from_ingredient,to_ingredient
ACESULFAME POTASSIUM,
ALMOND EXTRACT,
ALMOND MILK,
ALMONDS,
ALMONDS ROASTED IN VEGETABLE OIL,
AND/OR BAKING SODA,BAKING SODA
AND/OR CALCIUM PHOSPHATE,CALCIUM PHOSPHATE
AND/OR CANOLA OIL,CANOLA OIL
AND/OR PALM OIL,PALM OIL
AND/OR SUNFLOWER OIL),SUNFLOWER OIL
ANHYDROUS MILKFAT,
ANNATTO (COLOR),ANNATTO
ANNATTO (FOR COLOR),ANNATTO
APPLE JUICE,
ARTIFICIAL COLOR,
ARTIFICIAL FLAVOR,ARTIFICIAL FLAVOR
ARTIFICIAL FLAVORING,ARTIFICIAL FLAVOR
ARTIFICIAL FLAVORS,ARTIFICIAL FLAVOR
ASCORBIC ACID,
BAKING POWDER,BAKING POWDER
BAKING POWDER (SODIUM ACID PYROPHOSPHATE,BAKING POWDER
BAKING SODA,
BAKING SODA AND/OR CALCIUM PHOSPHATE,"BAKING SODA, CALCIUM PHOSPHATE"
BAKING SODA. CONTAINS MILK,"BAKING SODA, MILK"
BALSAMIC VINEGAR (RED WINE VINEGAR,RED WINE BALSAMIC VINEGAR
BANANA PUREE,
BANANAS,
BARLEY MALT,
BEET JUICE (FOR COLOR),BEET JUICE
BELGIAN CHOCOLATE,
BLACK CARROT CONCENTRATE (FOR COLOR),BLACK CARROT CONCENTRATE
BLACK CHERRIES,
BLACK RASPBERRIES,
BLACK RASPBERRY PUREE,
BLACKBERRY JUICE CONCENTRATE,
BLEACHED WHEAT FLOUR,
BLUE 1,ARTIFICIAL COLOR
BLUE 1 LAKE,ARTIFICIAL COLOR
BLUE 2,ARTIFICIAL COLOR
BLUE 2 LAKE,ARTIFICIAL COLOR
BLUEBERRIES,
BLUEBERRY PUREE CONCENTRATE,
BOURBON,
BROWN SUGAR,
BUTTER,
BUTTER (CREAM,BUTTER (CREAM)
BUTTER (CREAM),BUTTER (CREAM)
BUTTER (MILK),
BUTTER OIL,BUTTEROIL
BUTTERFAT,
BUTTEROIL,
CALCIUM CARBONATE,
CANE SUGAR,
CANOLA OIL,
CARAMEL (FOR COLOR),CARAMEL COLOR
CARAMEL COLOR,CARAMEL COLOR
CARAMEL FLAVOR,
CARAMEL ICE CREAM: CREAM,
CARAMEL SWIRL,
CARAMELIZED SUGAR,
CARAMELIZED SUGAR SYRUP,
CARNAUBA WAX,
CAROB BEAN,
CAROB BEAN GUM,
CAROB BEAN GUM),CAROB BEAN GUM
CAROB GUM,CARON BEAN GUM
CARRAGEENAN,
CARROT JUICE CONCENTRATE,
CARROT POWDER (COLOR),
CELLULOSE GUM,
CHEESE CULTURE,CHEESE CULTURES
CHEESE CULTURES,
CHEESE CULTURESS,CHEESE CULTURES
CHEESECAKE BASE,
CHEESECAKE PIECES WITH GRAHAM CRUST,
CHERRIES,
CHERRY AND BLACK CARROT CONCENTRATES (FOR COLOR),"CHERRY CONCENTRATE, BLACK CARROT CONCENTRATE"
CHERRY CONCENTRATE (FOR COLOR),CHERRY CONCENTRATE
CHERRY JUICE CONCENTRATE,
CHERRY PUREE,
CHOCOLATE,
CHOCOLATE (PROCESSED WITH ALKALI),
CHOCOLATE CHIP COOKIES,
CHOCOLATE CHIPS (SUGAR,
CHOCOLATE COOKIE PIECES,
CHOCOLATE FLAVORED COATING,
CHOCOLATE ICE CREAM: CREAM,
CHOCOLATE LIQUOR,
CHOCOLATE LIQUOR (PROCESSED WITH ALKALI),
CHOCOLATE PROCESSED WITH ALKALI,CHOCOLATE PROCESSED WITH ALKALI
CHOCOLATEY CHIPS,
CHOCOLATEY COATED PEANUTS,
CHOCOLATY COATED CONE PIECES,
CINNAMON,
CITRIC ACID,
CITRIC ACID (TO MAINTAIN FRESHNESS),CITRIC ACID
CLOVES,
COCOA,
COCOA (PROCESSED WITH ALKALI),COCOA PROCESSED WITH ALKALI
COCOA BUTTER,
COCOA BUTTER. DARK CHOCOLATE AND VEGETABLE OIL COATING WITH PEPPERMINT CANDY PIECES: DARK CHOCOLATE (SUGAR,
COCOA BUTTER),COCOA BUTTER
COCOA POWDER,
COCOA POWDER (PROCESSED WITH ALKALI),
COCOA PROCESSED WITH ALKALI,
COCONUT,
COCONUT AND SOYBEAN AND SUNFLOWER OILS,"COCONUT OIL, SOYBEAN OIL, SUNFLOWER OIL"
COCONUT AND SOYBEAN OIL,"COCONUT OIL, SOYBEAN OIL"
COCONUT CONCENTRATE,
COCONUT CREAM,
COCONUT CREAM (COCONUT EXTRACT,COCONUT CREAM
COCONUT EXTRACT,
COCONUT OIL,
COCONUT OIL. CHOCOLATE COOKIE: BLEACHED WHEAT FLOUR,"COCONUT OIL, CHOCOLATE COOKIE, BLEACHED WHEAT FLOUR"
COCONUT OIL. CONTAINS: MILK,"COCONUT OIL, MILK"
COFFEE,
COFFEE EXTRACT,
COFFEE EXTRACT CONCENTRATE,
COFFEE ICE CREAM,
COLOR ADDED,
CONDENSED MILK,
CONDENSED SKIM MILK,
CONE PIECES,
CONFECTIONER'S GLAZE,
CORN MALTODEXTRIN,
CORN OIL,
CORN STARCH,CORNSTARCH
CORN STARCH),CORNSTARCH
CORN SYRUP,
CORN SYRUP SOLIDS,
CORNSTARCH,
CORNSTARCH),CORNSTARCH
COTTONSEED OIL,
CREAM,
CREAM (MILK),CREAM
CREAM CHEESE,
CREAM CHEESE (CREAM,CREAM CHEESE
CREAM CHEESE (CULTURED PASTEURIZED MILK AND CREAM,CREAM CHEESE
CREAM CHEESE (MILK,CREAM CHEESE
CREAM CHEESE (PASTEURIZED MILK,CREAM CHEESE
CREAM CHEESE (PASTEURIZED MILK AND CREAM,CREAM CHEESE
CREAM OF TARTAR,
DARK CHOCOLATE,
DARK CHOCOLATE (BELGIAN CHOCOLATE,DARK CHOCOLATE (BELGIAN)
DESICCATED COCONUT,
DEXTRIN,
DEXTROSE,
DRIED APPLES,
DRIED CANE SYRUP,
DRY MALT EXTRACT (BARLEY),
DUTCHED COCOA (PROCESSED WITH ALKALI),
EGG,
EGG AND EGG YOLK,"EGG, EGG YOLK"
EGG AND SOY INGREDIENTS,"EGG, SOY"
EGG WHITES,
EGG YOLK AND EGG,"EGG, EGG YOLK"
EGG YOLK AND WHOLE EGG,"EGG, EGG YOLK"
EGG YOLKS,EGG YOLK
